run_id,arm,rows,avg_ms,p50_ms,p99_ms
table_r1,table,1000,10.33,10.23,14.7
table_r1,table,2000,10.83,11.29,15.15
table_r1,table,3000,10.69,10.36,14.95
table_r1,table,4000,11.13,10.49,15.81
table_r1,table,5000,11.25,11.54,15.68
table_r1,table,6000,11.6,11.4,15.68
table_r1,table,7000,10.89,10.71,15.0
table_r1,table,8000,11.0,10.79,15.57
table_r1,table,9000,10.57,10.83,15.3
table_r1,table,10000,11.58,10.9,15.93
table_r2,table,1000,10.26,10.15,14.36
table_r2,table,2000,11.55,11.57,15.82
table_r2,table,3000,11.02,11.33,15.67
table_r2,table,4000,10.77,10.59,15.13
table_r2,table,5000,10.77,10.64,15.05
table_r2,table,6000,11.07,12.04,15.03
table_r2,table,7000,10.84,10.28,15.21
table_r2,table,8000,11.83,11.39,15.22
table_r2,table,9000,11.62,11.26,15.9
table_r2,table,10000,10.77,10.74,15.03
table_r3,table,1000,9.39,9.06,13.49
table_r3,table,2000,11.24,11.71,15.24
table_r3,table,3000,11.0,10.59,15.71
table_r3,table,4000,11.11,10.62,15.64
table_r3,table,5000,11.15,10.55,14.99
table_r3,table,6000,10.71,11.02,15.01
table_r3,table,7000,11.22,11.36,15.15
table_r3,table,8000,11.34,11.46,15.61
table_r3,table,9000,11.85,11.86,16.22
table_r3,table,10000,12.27,12.15,16.77
view_r1_a1,view,1000,163.07,127.02,459.84
view_r1_a1,view,2000,612.46,577.31,1347.37
view_r1_a1,view,3000,1042.58,1008.2,2196.98
view_r1_a1,view,4000,1460.97,1427.42,3024.61
view_r1_a1,view,5000,1883.93,1850.47,3862.01
view_r1_a1,view,6000,2315.23,2286.21,4711.76
view_r1_a1,view,7000,2735.21,2702.79,5548.7
view_r1_a1,view,8000,3153.14,3120.11,6380.9
view_r1_a1,view,9000,3583.69,3553.29,7233.68
view_r1_a1,view,10000,3994.54,3962.57,8045.08
view_r1_a2,view,1000,164.43,128.23,459.29
view_r1_a2,view,2000,608.35,571.95,1340.76
view_r1_a2,view,3000,1038.58,1004.88,2187.01
view_r1_a2,view,4000,1479.6,1438.59,3086.95
view_r1_a2,view,5000,1941.18,1907.38,3977.15
view_r1_a2,view,6000,2363.17,2332.46,4805.04
view_r1_a2,view,7000,2787.24,2753.25,5653.26
view_r1_a2,view,8000,3211.96,3178.93,6491.35
view_r1_a2,view,9000,3591.1,3558.83,7244.04
view_r1_a2,view,10000,4038.6,4008.34,8128.14
view_r1_a3,view,1000,166.68,130.7,467.94
view_r1_a3,view,2000,624.41,588.65,1372.32
view_r1_a3,view,3000,1057.68,1024.42,2225.46
view_r1_a3,view,4000,1482.61,1448.0,3069.5
view_r1_a3,view,5000,1916.16,1883.29,3926.51
view_r1_a3,view,6000,2331.43,2308.46,4729.2
view_r1_a3,view,7000,2752.72,2719.38,5588.86
view_r1_a3,view,8000,3185.83,3153.82,6436.17
view_r1_a3,view,9000,3618.45,3587.16,7301.25
view_r1_a3,view,10000,4045.03,4010.63,8143.83
view_r2_a1,view,1000,162.71,127.28,456.56
view_r2_a1,view,2000,611.15,575.97,1344.44
view_r2_a1,view,3000,1042.63,1007.94,2197.46
view_r2_a1,view,4000,1462.94,1429.3,3028.77
view_r2_a1,view,5000,1889.6,1856.34,3872.91
view_r2_a1,view,6000,2304.97,2272.67,4694.15
view_r2_a1,view,7000,2726.6,2693.99,5531.91
view_r2_a1,view,8000,3149.73,3117.51,6367.8
view_r2_a1,view,9000,3572.75,3541.1,7206.86
view_r2_a1,view,10000,4014.94,3983.56,8082.19
view_r2_a2,view,1000,163.72,127.59,458.15
view_r2_a2,view,2000,611.96,577.02,1345.83
view_r2_a2,view,3000,1040.78,1006.19,2192.98
view_r2_a2,view,4000,1464.34,1430.41,3031.81
view_r2_a2,view,5000,1887.02,1852.87,3868.74
view_r2_a2,view,6000,2310.74,2279.35,4703.98
view_r2_a2,view,7000,2734.45,2702.12,5545.64
view_r2_a2,view,8000,3165.94,3137.24,6394.83
view_r2_a2,view,9000,3583.66,3549.24,7233.85
view_r2_a2,view,10000,4006.52,3976.09,8057.27
view_r2_a3,view,1000,162.08,126.59,456.27
view_r2_a3,view,2000,609.75,574.16,1343.34
view_r2_a3,view,3000,1040.72,1006.12,2193.37
view_r2_a3,view,4000,1462.43,1428.63,3026.86
view_r2_a3,view,5000,1886.65,1852.43,3868.5
view_r2_a3,view,6000,2310.34,2276.69,4711.31
view_r2_a3,view,7000,2742.81,2712.8,5552.42
view_r2_a3,view,8000,3151.9,3116.13,6393.28
view_r2_a3,view,9000,3616.12,3594.7,7260.3
view_r2_a3,view,10000,3994.81,3961.0,8048.08
view_r3_a1,view,1000,167.77,131.65,472.31
view_r3_a1,view,2000,632.2,597.73,1389.82
view_r3_a1,view,3000,1068.98,1034.37,2252.08
view_r3_a1,view,4000,1495.52,1460.86,3092.98
view_r3_a1,view,5000,1929.08,1896.68,3940.82
view_r3_a1,view,6000,2319.25,2284.13,4730.06
view_r3_a1,view,7000,2765.02,2734.16,5605.26
view_r3_a1,view,8000,3187.22,3152.15,6450.91
view_r3_a1,view,9000,3621.76,3590.05,7312.0
view_r3_a1,view,10000,4051.81,4022.6,8148.92
view_r3_a2,view,1000,166.05,130.28,465.87
view_r3_a2,view,2000,618.91,583.46,1360.43
view_r3_a2,view,3000,1049.66,1012.94,2212.83
view_r3_a2,view,4000,1471.06,1438.08,3047.61
view_r3_a2,view,5000,1909.14,1875.17,3915.22
view_r3_a2,view,6000,2331.38,2296.46,4750.61
view_r3_a2,view,7000,2757.02,2724.62,5589.48
view_r3_a2,view,8000,3176.4,3143.82,6425.35
view_r3_a2,view,9000,3620.42,3581.91,7320.41
view_r3_a2,view,10000,4061.19,4027.15,8170.39
view_r3_a3,view,1000,163.2,127.82,458.33
view_r3_a3,view,2000,612.37,577.79,1349.1
view_r3_a3,view,3000,1043.35,1009.4,2198.83
view_r3_a3,view,4000,1469.01,1435.6,3038.12
view_r3_a3,view,5000,1891.45,1858.49,3877.35
view_r3_a3,view,6000,2321.13,2281.45,4735.02
view_r3_a3,view,7000,2741.87,2707.43,5561.73
view_r3_a3,view,8000,3157.72,3127.34,6387.8
view_r3_a3,view,9000,3589.59,3557.09,7245.89
view_r3_a3,view,10000,4038.45,4001.43,8138.07
